frame x y z 
7239 4.58132 19.5839 3.26409
7256 4.5723 19.3306 2.45334
7263 4.68598 19.4399 1.60041
7268 4.77131 19.4612 0.635394
7274 4.88128 19.5003 0.648607
7279 4.94859 19.5669 1.06572
7294 4.75234 18.1525 0.688819
7302 5.41969 19.9746 0.134052
-1 0 0 0
7336 -1.92789 5.49318 0.0633311
-1 0 0 0
7382 3.49007 17.9466 0.295308
7425 3.33849 16.9587 0.212412
7442 3.5616 17.2428 2.06207
7447 3.78796 18.0347 3.15741
7451 3.90473 18.5529 3.46361
7459 4.13268 19.633 3.59038
7463 4.23764 19.5194 3.43152
-1 0 0 0
7470 3.78231 16.6498 1.57346
7474 4.10931 18.7142 3.08118
7478 4.04531 18.4168 2.81094
7482 3.75367 16.8393 1.18605
7486 3.78797 16.7613 0.0705054
7515 3.83358 16.7531 0.947824
7543 4.31258 17.245 2.73177
7548 4.38062 17.8415 3.2688
7552 4.43433 18.509 3.50665
7559 4.54188 19.2838 3.41474
7564 4.60468 19.7123 3.14441
7572 4.82761 19.4265 3.14161
7577 4.97576 19.2559 2.78558
7582 5.08701 19.0712 2.20621
7586 5.19255 18.9118 1.51281
7592 5.36033 18.737 0.162332
7604 5.55472 18.6798 1.54339
7614 5.68737 18.6807 1.61424
7621 5.58278 17.2252 0.270483
7626 5.83239 18.7407 0.293947
7635 5.63887 17.8663 1.0845
7644 5.88786 18.4673 0.155767
7673 5.40346 17.4913 0.10178
7687 5.33555 17.804 2.05552
7692 5.16901 17.1471 1.33729
7696 5.30973 17.5331 1.64993
7702 5.18621 17.3371 1.58268
7707 4.73186 19.4914 3.55012
7711 4.66651 19.2074 3.16029
7715 4.6368 18.8891 3.03193
7719 4.64281 18.5519 2.76904
7723 4.65384 18.2163 2.34316
7729 4.79164 17.1362 0.470899
7757 4.61944 16.9523 0.159805
7773 4.7001 17.1996 2.12292
7778 4.40497 16.5436 0.33946
-1 0 0 0
7782 4.74254 18.1486 3.2796
7786 4.75449 18.5704 3.51305
7792 4.81546 19.2851 3.52295
7798 4.82425 19.6747 3.19101
-1 0 0 0
7804 4.67121 16.8561 0.213742
-1 0 0 0
7809 5.36447 19.3357 2.43481
7814 5.6838 19.1693 1.68559
7818 5.86977 19.147 0.940174
7822 6.11303 19.0695 0.177823
7827 6.3722 18.8652 0.885584
7831 6.58119 18.7404 1.25957
7835 6.81997 18.6099 1.50806
7839 7.07483 18.494 1.51917
7843 7.26783 18.3845 1.39004
7847 7.45204 18.2698 1.10875
7852 7.65923 18.1971 0.634066
7860 8.06205 17.8924 0.609198
7925 6.71642 16.6683 0.149122
7930 6.55433 16.6579 0.658566
-1 0 0 0
8006 4.74831 17.6306 3.0151
8011 4.42015 16.3999 0.373936
-1 0 0 0
8015 4.67058 18.8159 3.56999
8022 4.58001 19.6368 3.39428
8027 4.55802 19.4642 3.06694
-1 0 0 0
8034 4.7691 16.8547 0.160407
-1 0 0 0
8046 4.41891 19.5059 2.23715
8050 4.42739 19.6548 1.52931
8055 4.40901 19.7321 0.663534
8060 4.39237 19.8017 0.517805
8064 4.41995 19.8498 1.01977
8071 4.46022 20.0105 1.44868
